Region,Ad,Subject,Y
NE,1,1,0
NE,1,2,1
NE,1,3,1
NE,1,4,0
NE,1,5,0
NE,1,6,0
NE,1,7,0
NE,1,8,0
NE,1,9,0
NE,1,10,0
NE,1,11,0
NE,1,12,0
NE,1,13,0
NE,1,14,1
NE,1,15,1
NE,1,16,0
NE,1,17,0
NE,1,18,0
NE,1,19,0
NE,1,20,0
NE,1,21,1
NE,1,22,0
NE,1,23,0
NE,1,24,0
NE,1,25,0
NE,1,26,0
NE,1,27,0
NE,1,28,0
NE,1,29,1
NE,1,30,0
NE,1,31,0
NE,1,32,0
NE,1,33,0
NE,1,34,1
NE,1,35,1
NE,1,36,0
NE,1,37,0
NE,1,38,0
NE,1,39,1
NE,1,40,1
NE,1,41,1
NE,1,42,0
NE,1,43,0
NE,1,44,0
NE,1,45,0
NE,1,46,0
NE,1,47,0
NE,1,48,0
NE,1,49,0
NE,1,50,0
NE,1,51,0
NE,1,52,0
NE,1,53,0
NE,1,54,0
NE,1,55,0
NE,1,56,0
NE,1,57,0
NE,1,58,0
NE,1,59,0
NE,1,60,1
NE,1,61,1
NE,1,62,0
NE,1,63,0
NE,1,64,0
NE,1,65,1
NE,1,66,0
NE,1,67,0
NE,1,68,0
NE,1,69,0
NE,1,70,1
NE,1,71,1
NE,1,72,0
NE,1,73,1
NE,1,74,0
NE,1,75,1
NE,1,76,1
NE,1,77,0
NE,1,78,1
NE,1,79,0
NE,1,80,0
NE,1,81,1
NE,1,82,1
NE,1,83,0
NE,1,84,1
NE,1,85,0
NE,1,86,0
NE,1,87,1
NE,1,88,0
NE,1,89,1
NE,1,90,0
NE,1,91,0
NE,1,92,1
NE,1,93,0
NE,1,94,0
NE,1,95,0
NE,1,96,0
NE,1,97,0
NE,1,98,0
NE,1,99,0
NE,1,100,0
NE,1,101,1
NE,1,102,0
NE,1,103,0
NE,1,104,0
NE,1,105,1
NE,1,106,0
NE,1,107,0
NE,1,108,0
NE,1,109,0
NE,1,110,0
NE,1,111,0
NE,1,112,0
NE,1,113,1
NE,1,114,0
NE,1,115,0
NE,1,116,1
NE,1,117,1
NE,1,118,1
NE,1,119,0
NE,1,120,1
NE,1,121,0
NE,1,122,0
NE,1,123,0
NE,1,124,1
NE,1,125,1
NE,1,126,1
NE,1,127,0
NE,1,128,0
NE,1,129,1
NE,1,130,1
NE,1,131,1
NE,1,132,1
NE,1,133,0
NE,1,134,1
NE,1,135,1
NE,1,136,1
NE,1,137,0
NE,1,138,1
NE,1,139,0
NE,1,140,0
NE,1,141,0
NE,1,142,0
NE,1,143,0
NE,1,144,0
NE,1,145,0
NE,1,146,0
NE,1,147,0
NE,1,148,0
NE,1,149,0
NE,1,150,0
NE,1,151,1
NE,1,152,0
NE,1,153,0
NE,1,154,0
NE,1,155,1
NE,1,156,1
NE,1,157,0
NE,1,158,0
NE,1,159,0
NE,1,160,0
NE,1,161,1
NE,1,162,1
NE,1,163,0
NE,1,164,1
NE,1,165,0
NE,1,166,0
NE,1,167,0
NE,1,168,0
NE,1,169,0
NE,1,170,0
NE,1,171,0
NE,1,172,0
NE,1,173,1
NE,1,174,1
NE,1,175,1
NE,1,176,0
NE,1,177,0
NE,1,178,0
NE,1,179,0
NE,1,180,0
NE,1,181,0
NE,1,182,1
NE,1,183,0
NE,1,184,0
NE,1,185,0
NE,1,186,0
NE,1,187,0
NE,1,188,0
NE,1,189,0
NE,1,190,0
NE,1,191,1
NE,1,192,0
NE,1,193,0
NE,1,194,0
NE,1,195,0
NE,1,196,1
NE,1,197,0
NE,1,198,1
NE,1,199,0
NE,1,200,0
NE,1,201,1
NE,1,202,1
NE,1,203,0
NE,1,204,1
NE,1,205,0
NE,1,206,1
NE,1,207,0
NE,1,208,0
NE,1,209,0
NE,1,210,1
NE,1,211,0
NE,1,212,0
NE,1,213,0
NE,1,214,1
NE,1,215,1
NE,1,216,0
NE,1,217,1
NE,1,218,0
NE,1,219,0
NE,1,220,0
NE,1,221,0
NE,1,222,1
NE,1,223,1
NE,1,224,0
NE,1,225,0
NE,1,226,1
NE,1,227,0
NE,1,228,1
NE,1,229,0
NE,1,230,1
NE,1,231,0
NE,1,232,0
NE,1,233,0
NE,1,234,0
NE,1,235,0
NE,1,236,0
NE,1,237,0
NE,1,238,1
NE,1,239,0
NE,1,240,0
NE,1,241,0
NE,1,242,0
NE,1,243,0
NE,1,244,0
NE,1,245,0
NE,1,246,0
NE,1,247,1
NE,1,248,0
NE,1,249,0
NE,1,250,1
NE,1,251,0
NE,1,252,1
NE,1,253,0
NE,1,254,0
NE,1,255,1
NE,1,256,1
NE,1,257,0
NE,1,258,1
NE,1,259,0
NE,1,260,1
NE,1,261,1
NE,1,262,1
NE,1,263,1
NE,1,264,0
NE,1,265,0
NE,1,266,1
NE,1,267,0
NE,1,268,1
NE,1,269,0
NE,1,270,0
NE,1,271,0
NE,1,272,0
NE,1,273,1
NE,1,274,0
NE,1,275,0
NE,1,276,0
NE,1,277,1
NE,1,278,1
NE,1,279,0
NE,1,280,1
NE,1,281,0
NE,1,282,0
NE,1,283,0
NE,1,284,0
NE,1,285,1
NE,1,286,0
NE,1,287,1
NE,1,288,0
NE,1,289,0
NE,1,290,0
NE,1,291,0
NE,1,292,0
NE,1,293,0
NE,1,294,1
NE,1,295,1
NE,1,296,1
NE,1,297,1
NE,1,298,0
NE,1,299,0
NE,1,300,0
NE,1,301,1
NE,1,302,0
NE,1,303,0
NE,1,304,1
NE,1,305,0
NE,1,306,1
NE,1,307,1
NE,1,308,0
NE,1,309,1
NE,1,310,1
NE,1,311,0
NE,1,312,0
NE,1,313,0
NE,1,314,0
NE,1,315,0
NE,1,316,0
NE,1,317,0
NE,1,318,1
NE,1,319,0
NE,1,320,1
NE,1,321,0
NE,1,322,0
NE,1,323,0
NE,1,324,0
NE,1,325,0
NE,1,326,1
NE,1,327,1
NE,1,328,1
NE,1,329,1
NE,1,330,0
NE,1,331,0
NE,1,332,1
NE,1,333,0
NE,1,334,0
NE,1,335,1
NE,1,336,1
NE,1,337,0
NE,1,338,0
NE,1,339,0
NE,1,340,0
NE,1,341,0
NE,1,342,0
NE,1,343,1
NE,1,344,0
NE,1,345,0
NE,1,346,0
NE,1,347,0
NE,1,348,0
NE,1,349,0
NE,1,350,1
NE,1,351,1
NE,1,352,1
NE,1,353,0
NE,1,354,1
NE,1,355,1
NE,1,356,0
NE,1,357,1
NE,1,358,0
NE,1,359,1
NE,1,360,0
NE,1,361,0
NE,1,362,0
NE,1,363,0
NE,1,364,0
NE,1,365,1
NE,1,366,0
NE,1,367,1
NE,1,368,0
NE,1,369,0
NE,1,370,0
NE,1,371,0
NE,1,372,0
NE,1,373,0
NE,1,374,1
NE,1,375,0
NE,1,376,0
NE,1,377,0
NE,1,378,1
NE,1,379,0
NE,1,380,0
NE,1,381,0
